position,sentence_id,word,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,age,frameRate,sex,expName,date,ID,
final,52,gut,The word is 'gut',2,40,168,51,space,0.885486125946,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,14,mick,Say 'mick' again,2,41,169,13,space,0.835494041443,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,64,cork,The word is 'cork',2,42,170,63,space,1.01860594749,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,16,wick,Say 'wick' again,2,43,171,15,space,0.852750062943,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,28,wrought,Say 'wrought' again,2,44,172,27,space,0.969580173492,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,42,lit,The word is 'lit',2,45,173,41,space,0.902647018433,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,12,fit,Say 'fit' again,2,46,174,11,space,0.985635995865,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,60,wrought,The word is 'wrought',2,47,175,59,space,1.32045388222,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,51,nut,The word is 'nut',2,48,176,50,space,0.902582883835,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,49,cut,The word is 'cut',2,49,177,48,space,1.06909704208,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,55,muck,The word is 'muck',2,50,178,54,space,1.08548808098,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,17,cut,Say 'cut' again,2,51,179,16,space,0.85165810585,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,47,chick,The word is 'chick',2,52,180,46,space,0.835785150528,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,36,rat,The word is 'rat',2,53,181,35,space,0.870769023895,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,37,Jack,The word is 'Jack',2,54,182,36,space,0.835501909256,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,22,duck,Say 'duck' again,2,55,183,21,space,0.785519123077,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,20,gut,Say 'gut' again,2,56,184,19,space,0.769156932831,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,24,tuck,Say 'tuck' again,2,57,185,23,space,0.769402980804,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,18,shut,Say 'shut' again,2,58,186,17,space,0.819911003113,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,48,wick,The word is 'wick',2,59,187,47,space,0.985645055771,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,7,Mac,Say 'Mac' again,2,60,188,6,space,0.919636964798,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,10,lit,Say 'lit' again,2,61,189,9,space,1.03616595268,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,26,short,Say 'short' again,2,62,190,25,space,1.16930198669,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,11,kit,Say 'kit' again,2,63,191,10,space,0.968778848648,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
